Name,Mean Views,Mean Likes,Mean Comments,Release Date,price,Positive Reviews,Category,Name_Cleaned,Total Streams18,Total Viewers18,Clip Count,Clip Views,Clip Duration,Total Streams19,Total Viewers19,Streamer Count,Total Followers,Total Streams23,Total Viewers23,Avg followers,Avg clip views,Avg clip duration,Total Streams11,Total Viewers11
DYNASTY WARRIORS: ORIGINS,217006,5349,625,16/01/2025,64.99,0.95,action,DYNASTY WARRIORS: ORIGINS,406,15129,738,351921,22589,402,15227,0,0,375,9228,0,476,30,334,7426
Counter-Strike 2,5874183,244817,2986,21/08/2012,0,0.82,action,Counter-Strike 2,0,0,0,0,0,0,0,188,543,0,0,2,0,0,0,0
Marvel Rivals,2939448,199446,3271,05/12/2024,0,0.81,action,Marvel Rivals,4045,157123,1100,2978884,28945,4348,132883,441,215664,5667,127368,489,2708,26,2071,56212
Path of Exile 2,1223245,28571,3745,06/12/2024,23.93,0.8,action,Path of Exile 2,1224,132164,1097,10877343,36706,1266,132756,0,0,1135,34214,0,9915,33,773,33771
Rust,8265008,265283,2839,08/02/2018,34.99,0.87,action,Rust,613,18729,1000,62874630,35735,631,19602,1000,2081738,572,18429,2081,62874,35,325,9063
Once Human,1957869,57510,1594,09/07/2024,0,0.78,action,Once Human,279,6895,999,1198484,31568,287,6422,140,32558,287,6012,232,1199,31,176,5040
PUBG: BATTLEGROUNDS,7120964,223523,5137,21/12/2017,0,0.69,action,PUBG: BATTLEGROUNDS,1179,17286,1000,13226110,29584,1203,17282,18,1295087,1033,10250,71949,13226,29,513,7225
"Warhammer 40,000: Space Marine 2",2049805,86494,2410,09/09/2024,54.54,0.85,action,"Warhammer 40,000: Space Marine 2",64,334,999,620009,27851,78,391,0,0,71,178,0,620,27,32,971
Ready or Not,30247433,309776,10299,13/12/2023,16.79,0.89,action,Ready or Not,53,188,999,1608257,27428,60,246,242,970,71,246,4,1609,27,23,98
War Thunder,16161577,460301,5647,15/08/2013,0,0.73,action,War Thunder,342,2788,1000,1100630,30557,362,3230,1000,463981,288,4817,463,1100,30,149,1150
Tom Clancy's Rainbow Six® Siege,6428314,190625,3944,01/12/2015,17.99,0.78,action,Tom Clancy's Rainbow Six Siege,1425,8633,1000,19285144,26302,1506,9472,0,0,2239,33402,0,19285,26,704,3869
Dota 2,2314800,62138,950,09/07/2013,0,0.74,action,Dota 2,2044,111702,1096,75866695,36999,2052,87938,1000,7189581,1318,51492,7189,69221,33,1324,81253
Hearts of Iron IV,2485863,64717,2068,06/06/2016,41.99,0.9,action,Hearts of Iron IV,30,1705,998,1523942,27252,36,2753,0,0,35,3736,0,1526,27,16,96
Black Desert,470588,6754,593,24/05/2017,8.99,0.71,action,Black Desert,172,6357,999,4612651,33545,194,6279,563,240847,177,4805,427,4617,33,143,5403
Phasmophobia,8717700,342636,8824,18/09/2020,16.75,0.94,action,Phasmophobia,615,6037,999,7547748,27715,727,6226,499,6691,916,8711,13,7555,27,251,1738
FINAL FANTASY VII REMAKE INTERGRADE,2610211,66993,3905,17/06/2022,34.99,0.88,action,FINAL FANTASY VII REMAKE INTERGRADE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avatar: Frontiers of Pandora™,596086,14205,883,17/06/2024,95.7,0.65,action,Avatar: Frontiers of Pandora,25,65,1000,314587,27507,24,64,0,0,31,1365,0,314,27,9,19
SMITE 2,127938,3846,300,27/08/2024,0,0.61,action,SMITE 2,172,9847,1100,149977,29245,188,15905,831,7607,202,17675,9,136,26,76,2037
Tales of Graces f Remastered,166588,1957,310,16/01/2025,34.99,0.86,action,Tales of Graces f Remastered,114,4285,40,242,1207,112,4064,0,0,101,2012,0,6,30,55,283
Apex Legends™,586028,22823,877,04/11/2020,0,0.41,action,Apex Legends,1691,27315,997,46635096,33206,1690,26765,1000,11745,1667,13078,11,46775,33,1372,12390
Delta Force,6514401,164630,3155,04/12/2024,0,0.71,action,Delta Force,571,14273,1100,432788,31471,591,14644,1000,24209,586,13435,24,393,28,481,23104
Strinova,604306,5975,267,21/11/2024,0,0.72,action,Strinova,132,54116,1000,321163,27449,142,37078,444,10789,131,21445,24,321,27,68,1720
Team Fortress 2,44381335,825573,33718,10/10/2007,0,0.94,action,Team Fortress 2,29,163,1000,4424072,26720,42,207,211,543,38,221,2,4424,26,13,83
Torchlight: Infinite,99183,951,146,09/05/2023,0,0.65,action,Torchlight: Infinite,38,2451,1100,259248,33105,32,2147,4,6016,35,839,1504,235,30,41,2426
BeamNG.drive,108245443,1389491,2226,29/05/2015,19.2,0.96,action,BeamNG.drive,20,84,982,1025062,25499,20,91,125,218,14,69,1,1043,25,7,10
Enshrouded,1323736,17206,770,24/01/2024,24.99,0.82,action,Enshrouded,77,847,995,526611,28055,80,728,74,121,74,559,1,529,28,34,675
Destiny 2,7842135,67715,2581,01/10/2019,0,0.61,action,Destiny 2,320,3070,998,20001581,32281,356,3156,1000,2905,450,4456,2,20041,32,177,1699
EA SPORTS FC™ 25,1795564,50170,2596,26/09/2024,0.99,0.46,sport,EA SPORTS FC 25,3609,388819,1100,2240887,30703,3438,326474,0,0,2920,160323,0,2037,27,958,40172
Football Manager 2024,719434,13876,514,06/11/2023,44.99,0.89,sport,Football Manager 2024,47,761,1000,275742,29422,55,743,2,1,63,561,0,275,29,25,152
NBA 2K25,2163287,92755,641,28/10/2024,59.99,0.62,sport,NBA 2K25,1032,5757,1000,1363789,25667,1045,4941,1000,3083,1546,5816,3,1363,25,448,2322
Forza Horizon 5,34621093,1143116,5841,08/11/2021,49.99,0.88,sport,Forza Horizon 5,140,608,994,1518438,26400,137,720,129,205,144,1192,1,1527,26,58,196
eFootball™,1050740,25475,585,29/09/2021,0,0.59,sport,eFootball,102,855,997,46586,27181,111,750,1000,51235,143,800,51,46,27,60,328
Assetto Corsa,10174204,238694,3918,19/12/2014,15.49,0.92,sport,Assetto Corsa,55,177,997,1391820,27706,68,213,134,1094,69,438,8,1396,27,34,131
Fishing Planet,547700,7739,339,11/08/2015,0,0.88,sport,Fishing Planet,21,91,989,207949,28697,22,101,175,895,18,98,5,210,29,20,62
Football Manager 2024 In-game Editor,80992,1254,138,06/11/2023,6.99,0.19,sport,Football Manager 2024 In-game Editor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
theHunter: Call of the Wild™,833948,18354,676,16/02/2017,16.75,0.9,sport,theHunter: Call of the Wild,82,384,999,473580,31364,87,447,0,0,105,326,0,474,31,33,146
Aerofly FS 4 Flight Simulator,585875,6982,405,04/07/2022,44.99,0.87,sport,Aerofly FS 4 Flight Simulator,0,0,28,172,797,0,0,0,0,0,0,0,6,28,0,0
Assetto Corsa Competizione,529915,13987,922,29/05/2019,34.99,0.91,sport,Assetto Corsa Competizione,57,210,1096,1010082,30034,71,575,0,0,48,227,0,921,27,46,618
UFO 50,526105,10195,638,18/09/2024,20.99,0.91,sport,UFO 50,7,383,1093,414792,29919,8,504,40,6,16,1310,0,379,27,4,114
Beat Saber,43239961,1589234,9312,21/05/2019,24.99,0.91,sport,Beat Saber,30,515,999,3652866,30297,32,485,767,13186,19,585,17,3656,30,11,206
